review_id,product,review,sentiment,sentiment_label,rating
1,Laptop,Superb quality and great customer service.,positive,1,5
2,Phone,"Completely useless, returned immediately.",negative,-1,1
3,Earbuds,"Best purchase I made this year, very satisfied.",positive,1,5
4,Phone,Superb quality and great customer service.,positive,1,5
5,Laptop,Superb quality and great customer service.,positive,1,5
6,Earbuds,"Very bad quality, not worth the price.",negative,-1,1
7,Laptop,Superb quality and great customer service.,positive,1,5
8,Phone,"Satisfactory product, as described.",neutral,0,3
9,Tablet,"Outstanding performance, will buy again.",positive,1,4
10,Watch,"Defective product, customer service unhelpful.",negative,-1,1
11,Laptop,"Not satisfied at all, very poor performance.",negative,-1,1
12,Phone,"Wonderful experience, product is top notch.",positive,1,5
13,Earbuds,"Works perfectly, exceeded my expectations.",positive,1,5
14,Laptop,"Great value for money, highly recommend.",positive,1,5
15,Laptop,"Waste of money, poor quality.",negative,-1,1
16,Watch,"Normal product, average performance.",neutral,0,2
17,Phone,"Best purchase I made this year, very satisfied.",positive,1,5
18,Tablet,Really impressed with the build quality.,positive,1,4
19,Earbuds,"Average quality, does the job.",neutral,0,2
20,Phone,"Wonderful experience, product is top notch.",positive,1,5
21,Earbuds,"Great value for money, highly recommend.",positive,1,5
22,Laptop,"Best purchase I made this year, very satisfied.",positive,1,5
23,Watch,"Worst purchase ever, avoid this product.",negative,-1,1
24,Watch,"This product is absolutely amazing, love it!",positive,1,5
25,Tablet,Superb quality and great customer service.,positive,1,5
26,Watch,"Very bad quality, not worth the price.",negative,-1,2
27,Laptop,"Great value for money, highly recommend.",positive,1,4
28,Tablet,"Excellent quality, very happy with my purchase.",positive,1,4
29,Phone,"Very disappointed, does not work as advertised.",negative,-1,2
30,Watch,"Great value for money, highly recommend.",positive,1,5
31,Tablet,"Worst purchase ever, avoid this product.",negative,-1,2
32,Laptop,"Not satisfied at all, very poor performance.",negative,-1,1
33,Earbuds,"Works fine, but nothing extraordinary.",neutral,0,3
34,Earbuds,"Excellent quality, very happy with my purchase.",positive,1,5
35,Laptop,"Worst purchase ever, avoid this product.",negative,-1,1
36,Laptop,Really impressed with the build quality.,positive,1,4
37,Earbuds,"This product is absolutely amazing, love it!",positive,1,5
38,Tablet,Really impressed with the build quality.,positive,1,5
39,Earbuds,"Worst purchase ever, avoid this product.",negative,-1,1
40,Laptop,"Works perfectly, exceeded my expectations.",positive,1,5
41,Watch,"Waste of money, poor quality.",negative,-1,1
42,Phone,Product stopped working after a few days.,negative,-1,1
43,Watch,"Product is acceptable, works as expected.",neutral,0,2
44,Watch,"Best purchase I made this year, very satisfied.",positive,1,5
45,Laptop,"Average quality, does the job.",neutral,0,4
46,Earbuds,"Best purchase I made this year, very satisfied.",positive,1,5
47,Tablet,Superb quality and great customer service.,positive,1,5
48,Watch,"Worst purchase ever, avoid this product.",negative,-1,2
49,Earbuds,"Works perfectly, exceeded my expectations.",positive,1,4
50,Tablet,"Outstanding performance, will buy again.",positive,1,5
51,Watch,"Decent product, meets basic expectations.",neutral,0,3
52,Tablet,"Defective product, customer service unhelpful.",negative,-1,1
53,Earbuds,"Best purchase I made this year, very satisfied.",positive,1,5
54,Phone,"Wonderful experience, product is top notch.",positive,1,4
55,Earbuds,"Works perfectly, exceeded my expectations.",positive,1,4
56,Laptop,"Best purchase I made this year, very satisfied.",positive,1,5
57,Tablet,"Great value for money, highly recommend.",positive,1,4
58,Phone,"Normal product, average performance.",neutral,0,3
59,Tablet,"Horrible experience, never buying again.",negative,-1,2
60,Tablet,"Normal product, average performance.",neutral,0,3
61,Watch,"Fantastic product, delivery was fast too.",positive,1,4
62,Laptop,"Product is acceptable, works as expected.",neutral,0,3
63,Tablet,Neither impressed nor disappointed.,neutral,0,3
64,Earbuds,"Great value for money, highly recommend.",positive,1,4
65,Earbuds,"Product is acceptable, works as expected.",neutral,0,4
66,Watch,Really impressed with the build quality.,positive,1,5
67,Laptop,"This product is absolutely amazing, love it!",positive,1,4
68,Laptop,Really impressed with the build quality.,positive,1,5
69,Earbuds,Neither impressed nor disappointed.,neutral,0,4
70,Phone,"Fantastic product, delivery was fast too.",positive,1,5
71,Watch,"Not satisfied at all, very poor performance.",negative,-1,1
72,Watch,"This product is absolutely amazing, love it!",positive,1,5
73,Earbuds,Superb quality and great customer service.,positive,1,5
74,Earbuds,"Satisfactory product, as described.",neutral,0,4
75,Phone,Superb quality and great customer service.,positive,1,5
76,Phone,"Terrible product, broke after one week.",negative,-1,1
77,Laptop,"Wonderful experience, product is top notch.",positive,1,5
78,Watch,"Normal product, average performance.",neutral,0,3
79,Watch,"This product is absolutely amazing, love it!",positive,1,5
80,Earbuds,Superb quality and great customer service.,positive,1,5
81,Laptop,"This product is absolutely amazing, love it!",positive,1,4
82,Watch,"Satisfactory product, as described.",neutral,0,4
83,Laptop,"This product is absolutely amazing, love it!",positive,1,4
84,Laptop,"Very disappointed, does not work as advertised.",negative,-1,2
85,Earbuds,"Defective product, customer service unhelpful.",negative,-1,2
86,Laptop,"Normal product, average performance.",neutral,0,3
87,Phone,"Worst purchase ever, avoid this product.",negative,-1,1
88,Phone,"Fantastic product, delivery was fast too.",positive,1,5
89,Tablet,"Great value for money, highly recommend.",positive,1,5
90,Earbuds,"Satisfactory product, as described.",neutral,0,4
91,Tablet,"Terrible product, broke after one week.",negative,-1,2
92,Phone,"Fantastic product, delivery was fast too.",positive,1,5
93,Tablet,"Waste of money, poor quality.",negative,-1,2
94,Earbuds,"Horrible experience, never buying again.",negative,-1,2
95,Earbuds,"Works perfectly, exceeded my expectations.",positive,1,5
96,Laptop,"It is alright, neither good nor bad.",neutral,0,3
97,Watch,"Horrible experience, never buying again.",negative,-1,2
98,Laptop,"Okay for the price, not bad.",neutral,0,2
99,Earbuds,"Excellent quality, very happy with my purchase.",positive,1,5
100,Phone,Neither impressed nor disappointed.,neutral,0,2
101,Phone,"Best purchase I made this year, very satisfied.",positive,1,5
102,Laptop,"Defective product, customer service unhelpful.",negative,-1,1
103,Earbuds,"Wonderful experience, product is top notch.",positive,1,5
104,Phone,"It is alright, neither good nor bad.",neutral,0,4
105,Earbuds,"Very disappointed, does not work as advertised.",negative,-1,1
106,Phone,"Works fine, but nothing extraordinary.",neutral,0,3
107,Earbuds,"Normal product, average performance.",neutral,0,4
108,Tablet,"Works perfectly, exceeded my expectations.",positive,1,5
109,Earbuds,"Waste of money, poor quality.",negative,-1,1
110,Earbuds,"Satisfactory product, as described.",neutral,0,3
111,Laptop,"Worst purchase ever, avoid this product.",negative,-1,1
112,Tablet,"Product is okay, nothing special.",neutral,0,2
113,Watch,"Fantastic product, delivery was fast too.",positive,1,5
114,Laptop,"Waste of money, poor quality.",negative,-1,2
115,Watch,Really impressed with the build quality.,positive,1,4
116,Phone,"Very disappointed, does not work as advertised.",negative,-1,2
117,Watch,"Excellent quality, very happy with my purchase.",positive,1,4
118,Earbuds,"Works perfectly, exceeded my expectations.",positive,1,5
119,Watch,"Not satisfied at all, very poor performance.",negative,-1,2
120,Laptop,"Great value for money, highly recommend.",positive,1,5
121,Laptop,"Outstanding performance, will buy again.",positive,1,5
122,Watch,Superb quality and great customer service.,positive,1,5
123,Laptop,"Completely useless, returned immediately.",negative,-1,1
124,Laptop,"Terrible product, broke after one week.",negative,-1,2
125,Watch,"Waste of money, poor quality.",negative,-1,2
126,Tablet,"Very bad quality, not worth the price.",negative,-1,1
127,Tablet,"Fantastic product, delivery was fast too.",positive,1,4
128,Phone,"Decent product, meets basic expectations.",neutral,0,4
129,Laptop,"Average quality, does the job.",neutral,0,2
130,Watch,"This product is absolutely amazing, love it!",positive,1,5
131,Laptop,"Terrible product, broke after one week.",negative,-1,1
132,Earbuds,"Works perfectly, exceeded my expectations.",positive,1,4
133,Laptop,"Terrible product, broke after one week.",negative,-1,2
134,Laptop,"Outstanding performance, will buy again.",positive,1,5
135,Tablet,Neither impressed nor disappointed.,neutral,0,2
136,Watch,"Product is okay, nothing special.",neutral,0,3
137,Laptop,"Waste of money, poor quality.",negative,-1,1
138,Tablet,"It is alright, neither good nor bad.",neutral,0,3
139,Phone,"Outstanding performance, will buy again.",positive,1,5
140,Tablet,"This product is absolutely amazing, love it!",positive,1,4
141,Tablet,"Excellent quality, very happy with my purchase.",positive,1,5
142,Tablet,"Very bad quality, not worth the price.",negative,-1,1
143,Laptop,"Worst purchase ever, avoid this product.",negative,-1,1
144,Laptop,"Excellent quality, very happy with my purchase.",positive,1,5
145,Phone,"Very bad quality, not worth the price.",negative,-1,1
146,Earbuds,"Wonderful experience, product is top notch.",positive,1,5
147,Earbuds,"Product is okay, nothing special.",neutral,0,2
148,Earbuds,Neither impressed nor disappointed.,neutral,0,4
149,Phone,"Completely useless, returned immediately.",negative,-1,1
150,Earbuds,"Best purchase I made this year, very satisfied.",positive,1,5
151,Earbuds,"Excellent quality, very happy with my purchase.",positive,1,4
152,Tablet,"Product is acceptable, works as expected.",neutral,0,2
153,Laptop,"Great value for money, highly recommend.",positive,1,5
154,Laptop,"Terrible product, broke after one week.",negative,-1,1
155,Tablet,"Works perfectly, exceeded my expectations.",positive,1,5
156,Tablet,"Excellent quality, very happy with my purchase.",positive,1,5
157,Tablet,"Best purchase I made this year, very satisfied.",positive,1,5
158,Laptop,"Waste of money, poor quality.",negative,-1,1
159,Earbuds,"Fantastic product, delivery was fast too.",positive,1,5
160,Tablet,"Very bad quality, not worth the price.",negative,-1,2
161,Phone,"Wonderful experience, product is top notch.",positive,1,4
162,Tablet,"Satisfactory product, as described.",neutral,0,2
163,Watch,Product stopped working after a few days.,negative,-1,1
164,Tablet,Product stopped working after a few days.,negative,-1,2
165,Laptop,"Outstanding performance, will buy again.",positive,1,5
166,Tablet,"Fantastic product, delivery was fast too.",positive,1,4
167,Watch,"Great value for money, highly recommend.",positive,1,5
168,Phone,"Works perfectly, exceeded my expectations.",positive,1,4
169,Earbuds,"Horrible experience, never buying again.",negative,-1,1
170,Tablet,"Excellent quality, very happy with my purchase.",positive,1,4
171,Watch,"Waste of money, poor quality.",negative,-1,1
